Gene stable ID	Gene % GC content	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name	NCBI gene ID	Transcript length (including UTRs and CDS)	Transcript support level (TSL)
ENSG00000210049	40.85	MT	577	647	MT-TF		71	tslNA
ENSG00000211459	45.49	MT	648	1601	MT-RNR1	4549	954	tslNA
ENSG00000210077	42.03	MT	1602	1670	MT-TV		69	tslNA
ENSG00000210082	42.81	MT	1671	3229	MT-RNR2	4550	1559	tslNA
ENSG00000209082	38.67	MT	3230	3304	MT-TL1		75	tslNA
ENSG00000198888	47.70	MT	3307	4262	MT-ND1	4535	956	tslNA
ENSG00000210100	28.99	MT	4263	4331	MT-TI		69	tslNA
ENSG00000210107	48.61	MT	4329	4400	MT-TQ		72	tslNA
ENSG00000210112	45.59	MT	4402	4469	MT-TM		68	tslNA
ENSG00000198763	42.99	MT	4470	5511	MT-ND2	4536	1042	tslNA
ENSG00000210117	35.29	MT	5512	5579	MT-TW		68	tslNA
ENSG00000210127	43.48	MT	5587	5655	MT-TA		69	tslNA
ENSG00000210135	41.10	MT	5657	5729	MT-TN		73	tslNA
ENSG00000210140	45.45	MT	5761	5826	MT-TC		66	tslNA
ENSG00000210144	42.42	MT	5826	5891	MT-TY		66	tslNA
ENSG00000198804	46.24	MT	5904	7445	MT-CO1	4512	1542	tslNA
ENSG00000210151	49.28	MT	7446	7514	MT-TS1		69	tslNA
ENSG00000210154	23.53	MT	7518	7585	MT-TD		68	tslNA
ENSG00000198712	46.20	MT	7586	8269	MT-CO2	4513	684	tslNA
ENSG00000210156	32.86	MT	8295	8364	MT-TK		70	tslNA
ENSG00000228253	39.61	MT	8366	8572	MT-ATP8	4509	207	tslNA
ENSG00000198899	44.20	MT	8527	9207	MT-ATP6	4508	681	tslNA
ENSG00000198938	46.56	MT	9207	9990	MT-CO3	4514	784	tslNA
ENSG00000210164	26.47	MT	9991	10058	MT-TG		68	tslNA
ENSG00000198840	40.17	MT	10059	10404	MT-ND3	4537	346	tslNA
ENSG00000210174	23.08	MT	10405	10469	MT-TR		65	tslNA
ENSG00000212907	43.10	MT	10470	10766	MT-ND4L	4539	297	tslNA
ENSG00000198886	44.27	MT	10760	12137	MT-ND4	4538	1378	tslNA
ENSG00000210176	36.23	MT	12138	12206	MT-TH		69	tslNA
ENSG00000210184	45.76	MT	12207	12265	MT-TS2		59	tslNA
ENSG00000210191	35.21	MT	12266	12336	MT-TL2		71	tslNA
ENSG00000198786	44.92	MT	12337	14148	MT-ND5	4540	1812	tslNA
ENSG00000198695	42.67	MT	14149	14673	MT-ND6	4541	525	tslNA
ENSG00000210194	39.13	MT	14674	14742	MT-TE		69	tslNA
ENSG00000198727	46.28	MT	14747	15887	MT-CYB	4519	1141	tslNA
ENSG00000210195	37.88	MT	15888	15953	MT-TT		66	tslNA
